Cage_name	Prey_type	Tube_name	dilution	Series	Rep	dataset	T0_worm_g	T1_worm_g	W_Change
P001	Fly	1IA	1	1	A	pre	0.007	0.003	0.004
P002	Fly	2IIA	2	2	A	pre	0.007	0.006	0.001
P003	Fly	3IA	3	1	A	pre	0.007	0.004	0.003
P004	Fly	4IA	4	1	A	pre	0.007	0.002	0.005
P005	Fly	5IA	5	1	A	pre	0.007	0.005	0.002
P006	Fly	2IB	2	1	B	pre	0.007	0.005	0.002
P007	Fly	1IB	1	1	B	pre	0.007	0.004	0.003
P008	Fly	3IB	3	1	B	pre	0.007	0.004	0.003
P009	Fly	4IB	4	1	B	pre	0.007	0.003	0.004
P010	Fly	5IB	5	1	B	pre	0.007	0.003	0.004
P011	Fly	4IC	4	1	C	pre	0.007	0.003	0.004
P012	Fly	2IC	2	1	C	pre	0.007	0.004	0.003
P013	Fly	3IC	3	1	C	pre	0.007	0.005	0.002
P014	Fly	1IC	1	1	C	pre	0.007	0.005	0.002
P015	Fly	1IIA	1	2	A	pre	0.007	0.006	0.001
P016	Fly	2IA	2	1	A	pre	0.007	0.003	0.004
P017	Fly	3IIA	3	2	A	pre	0.007	0.002	0.005
P018	Fly	4IIA	4	2	A	pre	0.007	0.002	0.005
P019	Fly	5IIA	5	2	A	pre	0.007	0.004	0.003
P020	Fly	1IIB	1	2	B	pre	0.007	0.003	0.004
P021	Fly	2IIB	2	2	B	pre	0.007	0.001	0.006
P022	Fly	3IIB	3	2	B	pre	0.007	0.002	0.005
P023	Fly	4IIB	4	2	B	pre	0.007	0.003	0.004
P024	Fly	5IIB	5	2	B	pre	0.007	0.003	0.004
P025	Fly	1IIC	1	2	C	pre	0.007	0.003	0.004
P026	Fly	2IIC	2	2	C	pre	0.007	0.003	0.004
P027	Fly	3IIC	3	2	C	pre	0.007	0.003	0.004
P028	Fly	4IIC	4	2	C	pre	0.007	0.004	0.003
P029	Fly	5IIC	5	2	C	pre	0.007	0.003	0.004
P030	Fly	1IIIA	1	3	A	pre	0.007	0.003	0.004
P031	Fly	2IIIA	2	3	A	pre	0.007	0.003	0.004
P032	Fly	3IIIA	3	3	A	pre	0.007	0.005	0.002
P033	Fly	4IIIA	4	3	A	pre	0.007	0.001	0.006
P034	Fly	5IIIA	5	3	A	pre	0.007	0.002	0.005
P035	Fly	1IIIB	1	3	B	pre	0.007	0.002	0.005
P036	Fly	2IIIB	2	3	B	pre	0.007	0.005	0.002
P037	Fly	3IIIB	3	3	B	pre	0.007	0.004	0.003
P038	Fly	4IIIB	4	3	B	pre	0.007	0.001	0.006
P039	Fly	5IIIB	5	3	B	pre	0.007	0.001	0.006
P040	Fly	1IIIC	1	3	C	pre	0.007	0.004	0.003
P041	Fly	2IIIC	2	3	C	pre	0.007	0.003	0.004
P042	Fly	3IIIC	3	3	C	pre	0.007	0.001	0.006
P043	Fly	4IIIC	4	3	C	pre	0.007	0.001	0.006
P044	Fly	5IIIC	5	3	C	pre	0.007	0.001	0.006
P001	Fly	1IA	1	1	A	post	0.007	0.003	0.004
P002	Fly	2IIA	2	2	A	post	0.007	0.006	0.001
P003	Fly	3IA	3	1	A	post	0.007	0.004	0.003
P004	Fly	4IA	4	1	A	post	0.007	0.002	0.005
P005	Fly	5IA	5	1	A	post	0.007	0.005	0.002
P006	Fly	2IB	2	1	B	post	0.007	0.005	0.002
P007	Fly	1IB	1	1	B	post	0.007	0.004	0.003
P008	Fly	3IB	3	1	B	post	0.007	0.004	0.003
P009	Fly	4IB	4	1	B	post	0.007	0.003	0.004
P010	Fly	5IB	5	1	B	post	0.007	0.003	0.004
P011	Fly	4IC	4	1	C	post	0.007	0.003	0.004
P012	Fly	2IC	2	1	C	post	0.007	0.004	0.003
P013	Fly	3IC	3	1	C	post	0.007	0.005	0.002
P014	Fly	1IC	1	1	C	post	0.007	0.005	0.002
P015	Fly	1IIA	1	2	A	post	0.007	0.006	0.001
P016	Fly	2IA	2	1	A	post	0.007	0.003	0.004
P017	Fly	3IIA	3	2	A	post	0.007	0.002	0.005
P018	Fly	4IIA	4	2	A	post	0.007	0.002	0.005
P019	Fly	5IIA	5	2	A	post	0.007	0.004	0.003
P020	Fly	1IIB	1	2	B	post	0.007	0.003	0.004
P021	Fly	2IIB	2	2	B	post	0.007	0.001	0.006
P022	Fly	3IIB	3	2	B	post	0.007	0.002	0.005
P023	Fly	4IIB	4	2	B	post	0.007	0.003	0.004
P024	Fly	5IIB	5	2	B	post	0.007	0.003	0.004
P025	Fly	1IIC	1	2	C	post	0.007	0.003	0.004
P026	Fly	2IIC	2	2	C	post	0.007	0.003	0.004
P027	Fly	3IIC	3	2	C	post	0.007	0.003	0.004
P028	Fly	4IIC	4	2	C	post	0.007	0.004	0.003
P029	Fly	5IIC	5	2	C	post	0.007	0.003	0.004
P030	Fly	1IIIA	1	3	A	post	0.007	0.003	0.004
P031	Fly	2IIIA	2	3	A	post	0.007	0.003	0.004
P032	Fly	3IIIA	3	3	A	post	0.007	0.005	0.002
P033	Fly	4IIIA	4	3	A	post	0.007	0.001	0.006
P034	Fly	5IIIA	5	3	A	post	0.007	0.002	0.005
P035	Fly	1IIIB	1	3	B	post	0.007	0.002	0.005
P036	Fly	2IIIB	2	3	B	post	0.007	0.005	0.002
P037	Fly	3IIIB	3	3	B	post	0.007	0.004	0.003
P038	Fly	4IIIB	4	3	B	post	0.007	0.001	0.006
P039	Fly	5IIIB	5	3	B	post	0.007	0.001	0.006
P040	Fly	1IIIC	1	3	C	post	0.007	0.004	0.003
P041	Fly	2IIIC	2	3	C	post	0.007	0.003	0.004
P042	Fly	3IIIC	3	3	C	post	0.007	0.001	0.006
P043	Fly	4IIIC	4	3	C	post	0.007	0.001	0.006
P044	Fly	5IIIC	5	3	C	post	0.007	0.001	0.006
MTS101B	Fly	MTS101B	0	1	1	MT	NA	NA	0.0016
MTS102B	Fly	MTS102B	0	1	2	MT	NA	NA	0.0018
MTS103B	Fly	MTS103B	0	1	3	MT	NA	NA	0.0028
