,Sample,Quantity,Cells
1,11A,12857416.08,1836773.726
1,11B,12474104.39,1782014.914
2,11C,11691338.62,1670191.231
2,12A,15056419.64,2150917.092
3,12B,16519686.09,2359955.155
4,12C,21394284.31,3056326.33
3,13A,7825080.363,1117868.623
4,13B,59740.66163,8534.380233
5,13C,12594246.19,1799178.028
6,21A,3389854.873,484264.9819
7,21B,1661717.366,237388.1951
5,21C,618838.6499,88405.52142
6,22A,392885.424,56126.48915
7,22B,4916082.076,702297.4394
8,22C,1983540.866,283362.9809
8,23A,10331271.51,1475895.93
9,23B,6829450.484,975635.7834
10,23C,2936521.557,419503.0795
9,31A,1519045.004,217006.4292
10,31B,2576660.137,368094.3053
11,31C,6148474.416,878353.488
11,32A,3307035.535,472433.6478
12,32B,3906791.639,558113.0913
13,32C,16314608.91,2330658.415
12,33A,528242.069,75463.15271
13,33B,8729170.977,1247024.425
14,33C,10239149.55,1462735.65
15,41A,2217186.522,316740.9317
16,41B,360184.1823,51454.88319
14,41C,19612463.28,2801780.468
15,42A,10571094.58,1510156.368
16,42B,14949334.66,2135619.237
17,42C,13875953.7,1982279.1
17,43A,10461956.49,1494565.214
18,43B,6958333.209,994047.6012
19,43C,726682.5428,103811.7918
18,51A,4725236.03,675033.7186
19,51B,8085015.041,1155002.149
20,51C,5492805.597,784686.5138
20,52A,13577217.53,1939602.505
21,52B,9511415.057,1358773.58
22,52C,5362879.223,766125.6032
21,53A,12160962.21,1737280.316
22,53B,13683450.05,1954778.579
23,53C,12258656.59,1751236.655
24,DC5A46,5574240.952,796320.1359
25,DCT1,427571.8545,61081.6935
26,DCT2,213249.9914,30464.28449
27,DCT3,135359.1243,19337.01776
28,SPDegX8,208.7352465,29.81932092
29,SPT1,669279.2257,95611.31796
30,SPT2,311194.9213,44456.41733
31,SPT3,681329.7616,97332.82308
