"Sample"	"Plate"	"Series"	"Dilution"	"Rep"	"Water"	"Pyruvic_acid_methyl_esther"	"Tween40"	"Tween80"	"alpha_cyclodextrin"	"Glycogen"	"D_cellobiose"	"alfa_D_Lactose"	"Beta_methyl_D_glucoside"	"D_xylose"	"I_Erytritol"	"D_Mannitol"	"N_acetyl_D_glucosamine"	"D_glucosaminic_acid"	"Glucose_1_phosphate"	"D_L_alpha_glycerol_phospate"	"D_galactonic_acid_gama_lactone"	"D_galactouronic_acid"	"two_hydroxy_benzoic_Acid"	"four_hydroxy_benzoic_Acid"	"Gamma_hydroxybutyric_Acid"	"Itaconic_Acid"	"alpha_keto_butyric_acid"	"D_malic_Acid"	"L_Arginine"	"L_Asparagine"	"L_phenylalanine"	"L_serine"	"L_threonine"	"Glycyl_L_glutamic_Acid"	"Phenylethyl_amine"	"Putrescine"	"Diversity"
"X1IIIA"	"1IIIA"	1	3	1	"A"	0	0.6594	0.8166	0.842	1.1212	0.9423	0.9371	1.2127	0.4495	1.0858	-0.0704	1.2166	0.9139	0.8141	0.7621	0.4258	0.8709	0.6838	-0.1531	1.1113	1.2672	1.2137	0.6287	1.0881	1.0816	1.1125	0.9002	1.1039	0.8925	0.701	1.2955	0.9707	29
"X2IIIA"	"2IIIA"	1	3	2	"A"	0	0.7767	1.1928	1.0533	1.3158	1.155	1.1591	1.3431	1.1125	1.3292	0.9804	1.4234	1.146	1.0546	0.8089	0.7944	1.0171	1.1855	0.6946	1.1818	1.4196	1.4464	0.8342	1.1321	1.1357	1.364	1.1802	1.1224	1.0237	0.89	1.3416	1.2476	31
"X3IIIA"	"3IIIA"	1	3	3	"A"	0	0.6964	0.8557	0.722	0.925	0.7102	0.7318	0.8972	0.8482	0.825	0.6164	1.1108	0.8351	0.8521	0.4578	0.3962	0.678	0.7232	-0.239	1.0158	0.9423	1.0141	0.7587	0.8088	0.765	0.791	0.86	0.7791	0.7595	0.6852	1.023	0.8923	30
"X4IIIA"	"4IIIA"	2	3	4	"A"	0	0.3413	0.1783	0.1103	0.3604	0.154	0.5015	0.5146	0.1675	0.2931	0.1868	0.7377	0.3188	0.2736	0.1779	0.2511	0.3243	0.2844	-0.255	0.5215	0.7338	0.5728	0.0148000000000001	0.113	0.534	0.5831	0.3119	0.3563	0.1793	0.1459	0.5919	0.5414	30
"X5IIIA"	"5IIIA"	2	3	5	"A"	0	0.4251	0.4368	0.3328	0.5538	0.628	0.6325	0.7208	0.3876	0.7451	0.3401	0.7447	0.5887	0.5908	0.3124	0.2899	0.4986	0.5697	-0.6326	0.8012	0.8502	0.8418	0.2172	0.4994	0.6579	0.5257	0.5733	0.7027	0.4576	0.4616	0.8674	0.6469	30
"X1IIIB"	"1IIIB"	2	3	1	"B"	0	0.4703	0.6008	0.572	0.9526	0.6658	0.6677	0.765	0.375	0.8339	0.3661	1.0343	0.6908	0.7776	0.4683	0.2575	0.4832	0.7496	0.4778	0.8678	0.9069	0.8658	0.1919	0.635	0.7461	0.7742	0.6356	0.7311	0.4012	0.4455	0.8221	0.8621	31
"X2IIIB"	"2IIIB"	3	3	2	"B"	0	0.9313	0.7883	0.7431	1.013	0.9233	1.2092	1.136	0.8313	1.0892	0.4192	0.8398	0.9194	0.8308	0.804	0.6152	0.964	0.8816	0.3903	1.184	1.2114	1.1216	0.3892	0.996	0.9328	1.2268	0.6378	1.0096	0.5269	0.7069	1.3641	1.0281	31
"X3IIIB"	"3IIIB"	3	3	3	"B"	0	0.5129	0.2235	0.2596	0.3515	0.4386	0.5831	0.5845	0.0646	0.632	0.4173	0.7185	0.4655	0.3041	0	0.1536	0.3123	0.4742	-0.00869999999999993	0.6913	0.5662	0.87	0.1287	0.2878	0.3963	0.4407	0.3506	0.6047	0.4178	0.1977	0.6918	0.4998	29
"X4IIIB"	"4IIIB"	3	3	4	"B"	0	0.3195	0.1089	0.0882	0.4827	0.5209	0.362	0.5428	0.2232	0.5631	-0.0430999999999999	0.5976	0.1898	0.4189	0.1544	0.1446	0.2902	0.2537	-0.5791	0.5083	0.4534	0.6897	-0.1289	0.2039	0.2626	0.15	0.3935	0.2667	0.2982	0.1257	0.6393	0.4019	28
"X5IIIB"	"5IIIB"	4	3	5	"B"	0	0.8176	0.8892	0.9318	1.257	0.846	1.112	1.1552	0.9518	1.3631	0.6635	1.2686	0.9458	1.0081	0.8683	0.6541	0.9891	0.9787	-0.1822	1.3039	1.215	1.2972	0.8371	1.1186	0.8756	1.0091	1.2632	0.9606	0.7669	0.7015	1.2542	1.1874	30
"X1IIIC"	"1IIIC"	4	3	1	"C"	0	0.5055	0.5372	0.4293	0.8873	0.5056	0.5882	0.5439	0.5338	0.7595	0.0868	0.7473	0.5783	0.5337	0.3723	0.422	0.5135	0.4694	0.7551	0.7542	0.94	0.8164	0.2157	0.4419	0.7141	0.8814	0.57	0.662	0.168	0.3567	0.9729	0.6387	31
"X2IIIC"	"2IIIC"	4	3	2	"C"	0	0.504	0.5975	0.5902	1.056	0.8044	1.0721	0.934	0.5178	1.0004	0.1666	1.0103	0.853	0.9212	0.365	0.2003	0.7898	0.7752	0.0639000000000001	1.0941	1.1177	1.216	0.1307	0.7515	0.7598	0.8217	0.5754	0.874	0.4427	0.4991	1.0941	0.7963	31
"X3IIIC"	"3IIIC"	5	3	3	"C"	0	0.5537	0.3024	0.3447	0.8698	0.3899	0.4353	0.6117	0.6325	0.7487	0.3754	0.8901	0.6775	0.464	0.547	0.4148	0.3153	0.4109	-0.0447000000000002	0.5231	0.8093	0.4915	0.1628	0.6113	0.5688	0.5683	0.5244	0.5172	0.6794	0.2726	0.8524	0.6902	30
"X4IIIC"	"4IIIC"	5	3	4	"C"	0	-0.0182	0.1619	0.032	0.5014	0.2652	0.3277	0.3944	0.0461	0.5051	0.176	0.492	0.2754	0.551	0.099	0.1169	0.1017	0.1002	0.1219	0.2503	0.3322	0.4454	-0.0856999999999999	-0.067	0.2094	0.6964	0.3912	0.3147	0.5871	0.0293000000000001	0.5937	0.5372	28
"X1IIA"	"1IIA"	6	2	1	"A"	0	0.7376	0.7367	0.9327	1.0129	0.5784	0.8933	1.0749	0.659	0.9518	0.4234	1.0153	0.8536	0.6885	0.4767	0.1626	0.8119	0.7476	0.7055	1.0893	0.8861	1.0713	0.759	0.9263	0.9982	1.0299	0.7815	0.9028	0.7321	0.5333	1.2649	1.0194	31
"X2IIA"	"2IIA"	6	2	2	"A"	0	0.5236	0.566	0.5969	1.0653	0.82	0.7516	0.8166	0.5633	0.9908	0.4054	1.0072	0.7373	0.7393	0.3841	0.2287	0.714	0.8305	-0.0202	1.1403	1.0725	1.1793	0.359	0.9014	0.9272	0.9053	0.5708	0.9364	0.4493	0.4465	1.0481	0.9632	30
"X3IIA"	"3IIA"	6	2	3	"A"	0	0.8654	0.8435	0.7207	1.368	0.9483	0.8643	1.0346	0.4807	0.8974	0.8423	1.2045	0.758	0.7904	0.5258	0.4497	0.6576	0.7078	-0.3553	1.3058	1.2657	1.2402	0.5723	0.8231	1.1946	0.9809	0.6981	0.996	0.6467	0.8637	1.3062	1.095	30
"X4IIA"	"4IIA"	7	2	4	"A"	0	1.0686	1.0348	0.6553	1.1985	0.8929	1.0287	1.2069	0.8494	1.2892	0.5644	1.4834	0.9848	1.0037	0.6612	0.6148	0.9237	0.9967	-0.2092	1.3412	1.4145	1.1193	0.7865	0.93	1.0942	1.0781	1.1134	1.1603	0.8711	0.7061	1.4672	1.1356	30
"X5IIA"	"5IIA"	7	2	5	"A"	0	0.4071	0.2439	0.2784	0.5026	0.4178	0.6207	0.6736	0.3223	0.7043	-0.0110000000000001	0.806	0.6152	0.4195	0.3081	0.1366	0.4426	0.5418	-0.5321	0.7361	0.8491	0.7347	0.0933999999999999	0.336	0.7193	0.7761	0.5443	0.5847	0.2208	0.181	0.7979	0.7291	29
