series,dilution_tube,rep,mass_change,bradford_avg,log_protease_avg,chitinase_avg,ammonia_mmol,nitrate_mmol,richness,shannon,evenness
1,1,1,0.0022,84.85714286,3.61355003,951,0.143,0.852618,111,3.727483266,0.791476667
1,1,2,0,99.14285714,4.06726967,930.5,0.229667,0.852618,104,3.690887588,0.794697877
1,1,3,7.00E-04,163.4285714,4.236857872,720,0.673,2.80795,110,3.603234039,0.766567193
1,2,1,0.0023,113.4285714,0.405622845,849.5,0.276333,8.258728,101,3.471369999,0.752173207
1,2,2,0.0041,70.57142857,0.379879536,681.5,0.143,5.252229,104,3.390686225,0.730060475
1,2,3,0.0045,77.71428571,0.768634187,753,0.063,7.538246,104,3.226998376,0.694816273
1,3,1,0.0023,127.7142857,0.159349674,277,0.0863333,7.538246,96,3.289411798,0.720675036
1,3,2,0.0042,149.1428571,0.267307672,420,0.0996667,3.247492,98,3.390403788,0.739460815
1,3,3,0.0088,163.4285714,0.191451245,526.5,0.0163333,3.661845,97,3.206242087,0.700862219
1,4,1,0.005,99.14285714,0.196329117,322.5,0.196333,15.558826,96,3.264348973,0.715184039
1,4,2,0.0029,127.7142857,0.18421424,358,0.266333,1.372266,92,3.242202075,0.717017618
1,4,3,0.0049,77.71428571,0.008455287,253.5,0.276333,32.197911,97,3.24962007,0.710344344
2,1,1,0.0039,142,2.737424853,786,0.393,22.813717,106,3.479578583,0.746140029
2,1,2,0.0023,156.2857143,2.581594535,678.5,0.459667,3.247492,113,3.438503449,0.727358021
2,1,3,0.0026,106.2857143,3.257889267,670,0.459667,1.403975,116,3.493687814,0.734957721
2,2,1,0.0055,92,0.49161224,755.5,0.0963333,6.682361,118,3.397248543,0.712109228
2,2,2,0.0042,134.8571429,0.148555728,416,0.0963333,19.821334,112,3.102596001,0.657538782
2,2,3,0.0035,127.7142857,0.185928119,313,0.156333,4.129364,119,3.323229466,0.695363799
2,3,1,0.0043,149.1428571,0.353272192,521.5,0.043,5.252229,98,3.20196417,0.69836137
2,3,2,0.0035,142,0.400680884,751.5,0.0763333,17.560583,86,3.204325607,0.719370402
2,3,3,0.0026,142,0.040416443,599,0.093,22.374776,77,3.081953128,0.709505337
2,4,1,0.0039,134.8571429,0.41348902,279.5,0.326333,19.821334,72,2.968902749,0.694209617
2,4,2,7.00E-04,120.5714286,0.660369866,433,0.213,32.197911,80,2.908513364,0.663737034
2,4,3,0.003,142,0.384750222,190.5,0.183,41.055096,78,2.939102782,0.67461538
3,1,1,0.0016,106.2857143,4.47664312,800,0.449667,3.566872,104,3.603914822,0.775971468
3,1,2,0.0027,84.85714286,4.410494966,473.5,0.413,5.252229,100,3.558512889,0.772721256
3,1,3,0.0058,127.7142857,4.343196538,368,0.456333,4.129364,102,3.599035254,0.778174359
3,2,1,0.0056,206.2857143,0.602787691,662,0.0763333,4.129364,124,3.449323464,0.715585473
3,2,2,0.0032,120.5714286,0.457694326,759,0.0996667,13.786261,127,3.55922065,0.734740543
3,2,3,0.0032,177.7142857,0.219249356,494.5,0.129667,5.924082,119,3.648479589,0.763420237
3,3,1,0.0034,149.1428571,0.622454406,629.5,0.179667,17.560583,52,2.693390822,0.681656464
3,3,2,0.0039,113.4285714,0.892862124,595,0.139667,28.517146,44,2.52170545,0.66637925
3,3,3,-0.0011,63.42857143,1.762338463,421,0.189667,15.558826,17,2.17292222,0.766946204
3,4,1,0.0052,63.42857143,0.228635355,497,0.119667,25.259015,65,2.982590429,0.714497778
3,4,2,6.00E-04,77.71428571,0.102281359,374,0.169667,59.144856,64,2.967031518,0.713420276
3,4,3,0.004,106.2857143,0.046985061,373.5,0.159667,75.470621,64,2.996217648,0.720438057
