"mod.select"	"df"	"aic"	"R2"	"Function_name"	"Estimate"	"Std..Error"	"t.value"	"p.value"	"p.adj"	"significant"	"slope"
"two_hydroxy_benzoic_Acid"	"mod.lm.rich"	"3"	"-14.7285642361587"	0.48852286695223	"two_hydroxy_benzoic_Acid"	0.00423648851757315	"0.000660701535543044"	"6.41210635917639"	"1.12185870017504e-07"	3.47776197054262e-06	"yes"	"positive"
"Tween80"	"mod.lm.rich"	"3"	"6.9556409351842"	0.197997049402963	"Tween80"	0.00286660656256476	"0.000850176626470591"	"3.37177766750086"	"0.00163915752651792"	0.0254069416610278	"yes"	"positive"
"Tween40"	"mod.lm.rich"	"3"	"8.42654976960905"	0.0504668421505837	"Tween40"	0.00155485708074511	"0.000864842764136114"	"1.79784944179795"	"0.0795676792768701"	0.274066450842553	"no"	"positive"
"Pyruvic_acid_methyl_esther"	"mod.lm.null"	"2"	"-0.326572864796664"	0	"Pyruvic_acid_methyl_esther"	0.000548102022228611	"0.000794933770212342"	"0.689493946246871"	"0.494396571803579"	0.58947283561196	"no"	"positive"
"Putrescine"	"mod.lm.null"	"2"	"-2.11872861655773"	0	"Putrescine"	0.00104148441335987	"0.000765960885587826"	"1.35970965744628"	"0.181352866116151"	0.434202235310373	"no"	"positive"
"Phenylethyl_amine"	"mod.lm.rich"	"3"	"12.7056648030829"	0.0574270683187081	"Phenylethyl_amine"	0.00171476046975974	"0.000908963433681708"	"1.886501047478"	"0.0663234109877431"	0.257003217577504	"no"	"positive"
"N_acetyl_D_glucosamine"	"mod.lm.null"	"2"	"0.50980026399071"	0	"N_acetyl_D_glucosamine"	0.000922745533957346	"0.000794377126429372"	"1.16159630389281"	"0.25211742695441"	0.434202235310373	"no"	"positive"
"L_threonine"	"mod.lm.null"	"2"	"-6.90304816169121"	0	"L_threonine"	0.000555320109895464	"0.000735572914061988"	"0.754949100598158"	"0.454594525353112"	0.563697211437859	"no"	"positive"
"L_serine"	"mod.lm.null"	"2"	"6.69638836861942"	0	"L_serine"	0.000882194862585157	"0.00085655079555709"	"1.02993875805274"	"0.309076536862049"	0.456711465919204	"no"	"positive"
"L_phenylalanine"	"mod.lm.null"	"2"	"5.41358226985808"	0	"L_phenylalanine"	0.00106013092788418	"0.000838526958750593"	"1.26427769175576"	"0.213270644522127"	0.434202235310373	"no"	"positive"
